song_id,genre
Fat-Boys/Stick-%27Em,Hip Hop
Fat-Boys/Stick-%27Em,Beatboxing
Quincy-Jones/Snow-Creatures,Big Band
Quincy-Jones/Snow-Creatures,American
King-Tee/Payback%27s-a-Mutha,Hip Hop
King-Tee/Payback%27s-a-Mutha,West Coast Hip Hop
Force-M.D.%27s/Itchin%27-for-a-Scratch,R&B
LL-Cool-J/I-Can%27t-Live-Without-My-Radio,Hip Hop
LL-Cool-J/I-Can%27t-Live-Without-My-Radio,Rap
LL-Cool-J/I-Can%27t-Live-Without-My-Radio,East Coast Hip Hop
Lovebug-Starski/Starski-Live-at-the-Disco-Fever,Hip Hop
Eric-B.-%26-Rakim/I-Know-You-Got-Soul,Hip Hop
Commodores/The-Assembly-Line,Funk
Commodores/The-Assembly-Line,Pop Soul
Commodores/The-Assembly-Line,Adult Contemporary
Commodores/The-Assembly-Line,Disco
Billy-Squier/The-Big-Beat,Aor
Billy-Squier/The-Big-Beat,Pop Rock
Billy-Squier/The-Big-Beat,Rock
Billy-Squier/The-Big-Beat,Hard Rock
Trouble-Funk/Let%27s-Get-Small,Funk
Trouble-Funk/Let%27s-Get-Small,Go-Go
Trouble-Funk/Let%27s-Get-Small,R&B
Trouble-Funk/Let%27s-Get-Small,Rap
Trouble-Funk/Drop-the-Bomb,Funk
Trouble-Funk/Drop-the-Bomb,Go-Go
Trouble-Funk/Drop-the-Bomb,R&B
Trouble-Funk/Drop-the-Bomb,Rap
The-Notorious-B.I.G./Warning,Hip Hop
The-Notorious-B.I.G./Warning,Rap
The-Notorious-B.I.G./Warning,East Coast Hip Hop
The-Notorious-B.I.G./Warning,Gangsta Rap
Kendrick-Lamar/Euphoria,Hip Hop
Kendrick-Lamar/Euphoria,Hardcore Hip Hop
Kendrick-Lamar/Heart-Pt.-6,Funk
Kendrick-Lamar/Heart-Pt.-6,Hardcore Hip Hop
Kendrick-Lamar/Heart-Pt.-6,Hip Hop
Kendrick-Lamar/Heart-Pt.-6,Boom Bap
Kendrick-Lamar/Heart-Pt.-6,Contemporary R&B
Kendrick-Lamar/Heart-Pt.-6,Soul
Kendrick-Lamar/Heart-Pt.-6,West Coast Hip Hop
Kendrick-Lamar/Heart-Pt.-6,Conscious Hip Hop
Sabrina-Carpenter/Espresso,Electropop
Sabrina-Carpenter/Espresso,Alternative Pop
Sabrina-Carpenter/Espresso,Pop
Sabrina-Carpenter/Espresso,Nepo Baby
Kendrick-Lamar/Luther,Funk
Kendrick-Lamar/Luther,Hardcore Hip Hop
Kendrick-Lamar/Luther,Hip Hop
Kendrick-Lamar/Luther,Contemporary R&B
Kendrick-Lamar/Luther,Pop Rap
Kendrick-Lamar/Luther,Soul
Kendrick-Lamar/Luther,West Coast Hip Hop
Kendrick-Lamar/Luther,Trap Soul
Kendrick-Lamar/Luther,Conscious Hip Hop
SZA/30-for-30,Alternative Hip Hop
SZA/30-for-30,Hardcore Hip Hop
SZA/30-for-30,Hip Hop
